Disease,System,Medicine,Adult Dose,Child Dose,Tests,Warnings,Home Care
Hypertension,Cardiac,Amlodipine,5 mg OD,2.5 mg,"BP, ECG, KFT",Do not stop suddenly,Low salt diet
Type 2 Diabetes,Endocrine,Metformin,500 mg BD,Not preferred,"FBS, HbA1c",Renal monitoring,Diet control
Asthma,Respiratory,Salbutamol,2 puffs,1 puff,Spirometry,Overuse risk,Steam inhalation
Migraine,Neurology,Sumatriptan,50 mg SOS,Avoid,Clinical,Cardiac risk,Dark room rest
GERD,Gastro,Pantoprazole,40 mg OD,20 mg,Endoscopy,Long-term use caution,Small meals
UTI,Renal,Nitrofurantoin,100 mg BD,50 mg,Urine culture,Hydration needed,Drink water
Dengue,Infectious,Paracetamol,650 mg SOS,10 mg/kg,"CBC, NS1",No NSAIDs,Fluids
Hypothyroidism,Endocrine,Levothyroxine,50 mcg,25 mcg,TSH,Daily lifelong,Regular timing
Depression,Psychiatry,Sertraline,50 mg OD,Not advised,Psych eval,Suicidal ideation,Counselling
Osteoarthritis,Orthopedic,Paracetamol,650 mg,10 mg/kg,X-ray,Avoid NSAIDs,Physiotherapy
Hypertension Variant 11,Cardiac,Amlodipine,5 mg OD,2.5 mg,"BP, ECG, KFT",Do not stop suddenly,Low salt diet
Type 2 Diabetes Variant 12,Endocrine,Metformin,500 mg BD,Not preferred,"FBS, HbA1c",Renal monitoring,Diet control
Asthma Variant 13,Respiratory,Salbutamol,2 puffs,1 puff,Spirometry,Overuse risk,Steam inhalation
Migraine Variant 14,Neurology,Sumatriptan,50 mg SOS,Avoid,Clinical,Cardiac risk,Dark room rest
GERD Variant 15,Gastro,Pantoprazole,40 mg OD,20 mg,Endoscopy,Long-term use caution,Small meals
UTI Variant 16,Renal,Nitrofurantoin,100 mg BD,50 mg,Urine culture,Hydration needed,Drink water
Dengue Variant 17,Infectious,Paracetamol,650 mg SOS,10 mg/kg,"CBC, NS1",No NSAIDs,Fluids
Hypothyroidism Variant 18,Endocrine,Levothyroxine,50 mcg,25 mcg,TSH,Daily lifelong,Regular timing
Depression Variant 19,Psychiatry,Sertraline,50 mg OD,Not advised,Psych eval,Suicidal ideation,Counselling
Osteoarthritis Variant 20,Orthopedic,Paracetamol,650 mg,10 mg/kg,X-ray,Avoid NSAIDs,Physiotherapy
Hypertension Variant 21,Cardiac,Amlodipine,5 mg OD,2.5 mg,"BP, ECG, KFT",Do not stop suddenly,Low salt diet
Type 2 Diabetes Variant 22,Endocrine,Metformin,500 mg BD,Not preferred,"FBS, HbA1c",Renal monitoring,Diet control
Asthma Variant 23,Respiratory,Salbutamol,2 puffs,1 puff,Spirometry,Overuse risk,Steam inhalation
Migraine Variant 24,Neurology,Sumatriptan,50 mg SOS,Avoid,Clinical,Cardiac risk,Dark room rest
GERD Variant 25,Gastro,Pantoprazole,40 mg OD,20 mg,Endoscopy,Long-term use caution,Small meals
UTI Variant 26,Renal,Nitrofurantoin,100 mg BD,50 mg,Urine culture,Hydration needed,Drink water
Dengue Variant 27,Infectious,Paracetamol,650 mg SOS,10 mg/kg,"CBC, NS1",No NSAIDs,Fluids
Hypothyroidism Variant 28,Endocrine,Levothyroxine,50 mcg,25 mcg,TSH,Daily lifelong,Regular timing
Depression Variant 29,Psychiatry,Sertraline,50 mg OD,Not advised,Psych eval,Suicidal ideation,Counselling
Osteoarthritis Variant 30,Orthopedic,Paracetamol,650 mg,10 mg/kg,X-ray,Avoid NSAIDs,Physiotherapy
Hypertension Variant 31,Cardiac,Amlodipine,5 mg OD,2.5 mg,"BP, ECG, KFT",Do not stop suddenly,Low salt diet
Type 2 Diabetes Variant 32,Endocrine,Metformin,500 mg BD,Not preferred,"FBS, HbA1c",Renal monitoring,Diet control
Asthma Variant 33,Respiratory,Salbutamol,2 puffs,1 puff,Spirometry,Overuse risk,Steam inhalation
Migraine Variant 34,Neurology,Sumatriptan,50 mg SOS,Avoid,Clinical,Cardiac risk,Dark room rest
GERD Variant 35,Gastro,Pantoprazole,40 mg OD,20 mg,Endoscopy,Long-term use caution,Small meals
UTI Variant 36,Renal,Nitrofurantoin,100 mg BD,50 mg,Urine culture,Hydration needed,Drink water
Dengue Variant 37,Infectious,Paracetamol,650 mg SOS,10 mg/kg,"CBC, NS1",No NSAIDs,Fluids
Hypothyroidism Variant 38,Endocrine,Levothyroxine,50 mcg,25 mcg,TSH,Daily lifelong,Regular timing
Depression Variant 39,Psychiatry,Sertraline,50 mg OD,Not advised,Psych eval,Suicidal ideation,Counselling
Osteoarthritis Variant 40,Orthopedic,Paracetamol,650 mg,10 mg/kg,X-ray,Avoid NSAIDs,Physiotherapy
Hypertension Variant 41,Cardiac,Amlodipine,5 mg OD,2.5 mg,"BP, ECG, KFT",Do not stop suddenly,Low salt diet
Type 2 Diabetes Variant 42,Endocrine,Metformin,500 mg BD,Not preferred,"FBS, HbA1c",Renal monitoring,Diet control
Asthma Variant 43,Respiratory,Salbutamol,2 puffs,1 puff,Spirometry,Overuse risk,Steam inhalation
Migraine Variant 44,Neurology,Sumatriptan,50 mg SOS,Avoid,Clinical,Cardiac risk,Dark room rest
GERD Variant 45,Gastro,Pantoprazole,40 mg OD,20 mg,Endoscopy,Long-term use caution,Small meals
UTI Variant 46,Renal,Nitrofurantoin,100 mg BD,50 mg,Urine culture,Hydration needed,Drink water
Dengue Variant 47,Infectious,Paracetamol,650 mg SOS,10 mg/kg,"CBC, NS1",No NSAIDs,Fluids
Hypothyroidism Variant 48,Endocrine,Levothyroxine,50 mcg,25 mcg,TSH,Daily lifelong,Regular timing
Depression Variant 49,Psychiatry,Sertraline,50 mg OD,Not advised,Psych eval,Suicidal ideation,Counselling
Osteoarthritis Variant 50,Orthopedic,Paracetamol,650 mg,10 mg/kg,X-ray,Avoid NSAIDs,Physiotherapy
Hypertension Variant 51,Cardiac,Amlodipine,5 mg OD,2.5 mg,"BP, ECG, KFT",Do not stop suddenly,Low salt diet
Type 2 Diabetes Variant 52,Endocrine,Metformin,500 mg BD,Not preferred,"FBS, HbA1c",Renal monitoring,Diet control
Asthma Variant 53,Respiratory,Salbutamol,2 puffs,1 puff,Spirometry,Overuse risk,Steam inhalation
Migraine Variant 54,Neurology,Sumatriptan,50 mg SOS,Avoid,Clinical,Cardiac risk,Dark room rest
GERD Variant 55,Gastro,Pantoprazole,40 mg OD,20 mg,Endoscopy,Long-term use caution,Small meals
UTI Variant 56,Renal,Nitrofurantoin,100 mg BD,50 mg,Urine culture,Hydration needed,Drink water
Dengue Variant 57,Infectious,Paracetamol,650 mg SOS,10 mg/kg,"CBC, NS1",No NSAIDs,Fluids
Hypothyroidism Variant 58,Endocrine,Levothyroxine,50 mcg,25 mcg,TSH,Daily lifelong,Regular timing
Depression Variant 59,Psychiatry,Sertraline,50 mg OD,Not advised,Psych eval,Suicidal ideation,Counselling
